Date,Average Daily Wind Speed (mph),Precipitation (in),Average Relative Humidity (%),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
9/2/2014,10.51,0,70,85,96,77
9/3/2014,8.95,0,65,85,98,75
9/4/2014,8.05,0,71,84,97,75
9/5/2014,5.59,0,73,83,97,75
9/6/2014,3.8,0,70,83,97,74
9/7/2014,5.14,0.31,79,81,91,73
9/8/2014,4.03,0,69,80,93,71
9/9/2014,8.28,0,66,84,95,75
9/10/2014,10.51,0,66,85,98,76
9/11/2014,5.59,0,68,85,97,76
9/12/2014,6.71,4.26,76,83,96,68
9/13/2014,12.3,0.3,88,67,69,63
9/14/2014,5.59,0,79,69,78,65
9/15/2014,5.82,0,76,77,91,69
9/16/2014,5.82,0.11,79,81,93,75
9/17/2014,4.47,0,82,80,92,75
9/18/2014,5.37,1.19,93,77,82,75
9/19/2014,6.71,0.39,90,76,86,73
9/20/2014,5.82,0,72,79,89,73
9/21/2014,3.58,0,67,80,91,71
9/22/2014,7.83,0,67,80,90,72
9/23/2014,7.38,0,57,74,84,63
9/24/2014,4.47,0,58,73,84,60
9/25/2014,6.93,0,66,74,85,65
9/26/2014,6.04,0,66,77,85,69
9/27/2014,5.37,0.01,71,77,84,70
9/28/2014,6.93,0,67,77,88,68
9/29/2014,4.25,0,67,78,88,67
9/30/2014,3.8,0,75,79,90,71
